video_id,title,published,views,likes,comments
WROMyJAJmp4,Can I Beat An F1 Driver?,2025-11-18 17:00:01+00:00,78893736,782698,7029
tAwzBYE18Us,How I Became MrBeef,2025-11-16 20:00:02+00:00,15841265,686830,10599
LyFMbY-c_Lc,I Raced Noah Lyles,2025-11-14 17:00:01+00:00,130361156,2072263,7329
26QQE7EsnLA,MrBeast Lab Disaster!,2025-11-03 17:00:01+00:00,23023567,990527,14247
JgJrQnDIRgg,"First to Answer the Phone, Wins $10,000",2025-10-17 16:00:00+00:00,44866466,1431601,7658
oiZvK6MY7tI,"Call Your Ex, Win $10,000",2025-10-07 16:00:00+00:00,71527487,2022741,7406
F0OkwXKcPSE,Hi Me In 10 Years,2025-10-04 16:00:07+00:00,49547025,3360195,104989
TDv56whosPQ,"Survive 100 Days In Prison, Win $500,000",2025-08-16 19:00:02+00:00,127089275,2920883,40698
R_BmT1OJw98,Every YouTube Play Button I Have,2025-08-15 16:00:01+00:00,89231945,2184578,13845
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19 17:00:41+00:00,94735643,2311268,12579
c2ukL_zjFCk,Extreme Helmet Game,2025-05-28 16:00:19+00:00,178631624,3359604,7000
DZIASl9q90s,"Beat Neymar, Win $500,000",2025-05-24 16:00:01+00:00,154767038,3514634,80478
3dxksf0CzS8,World’s Fastest Robbers,2025-05-02 16:00:00+00:00,242403779,5285187,12928
Tbn4cYCaZCk,"Drift This Car, Win $10,000",2025-04-16 17:00:15+00:00,475077829,6353955,10370
zajUgQLviwk,"Last to Leave Their Circle Wins $500,000",2025-03-01 17:00:01+00:00,191396225,3061123,83456
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14 18:15:00+00:00,478859488,7566553,9219
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08 17:00:00+00:00,221266602,5332730,100655
sF5LYGgKbUA,Every Minute One Person Is Eliminated,2025-01-25 17:00:01+00:00,147685956,3054249,74583
gs8qfL9PNac,"2,000 People Fight For $5,000,000",2024-12-19 17:00:00+00:00,187160808,4585340,50519
SWc8fI_9iqA,Ronaldo Teaches Me How To SIUU,2024-12-01 17:00:00+00:00,332491564,9193222,34572
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",2024-11-02 16:00:00+00:00,266087243,5096062,56199
bn0Kh9c4Zv4,7 Days Exploring An Underground City,2024-10-12 16:00:00+00:00,167819694,3686459,33332
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16 18:00:00+00:00,314676160,7960663,9877
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",2024-07-19 16:00:00+00:00,599500032,16955724,28645
snUyLbGx6U4,"Buy Feastables, Win Unlimited Money",2024-04-30 16:00:00+00:00,401612850,12546479,28604
Pv0iVoSZzN8,In 10 Minutes This Room Will Explode!,2024-04-27 16:00:00+00:00,162285602,4154611,77384
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25 16:00:03+00:00,693600046,26209106,42865
7ESeQBeikKs,"Protect $500,000 Keep It!",2024-01-13 17:00:00+00:00,186424939,4773521,70182
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17 17:00:00+00:00,349687846,12553271,22628
3ryID_SwU5E,"$1 vs $100,000,000 House!",2023-10-14 16:00:00+00:00,391279971,6347633,133266
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12 17:30:03+00:00,649924018,26257852,34067
3OFj6l2tQ9s,World's Most Dangerous Trap!,2023-10-07 16:00:00+00:00,327115850,6681214,149483
J_z-W4UVHkw,"Every Country On Earth Fights For $250,000!",2023-08-19 16:00:01+00:00,248958427,6417349,369445
yhB3BgJyGl8,7 Days Stranded At Sea,2023-08-05 16:00:01+00:00,400551154,8211857,125966
ooAwCOP67GQ,Do Pawnshops Scam You?,2023-06-03 16:59:57+00:00,414760504,16309211,25120
lglIQkCHO0g,Do Men Lie About Their Height?,2023-02-14 21:00:14+00:00,553192143,21459382,28627
7IKab3HcfFk,I Survived 50 Hours In Antarctica,2022-12-24 20:59:59+00:00,248271749,5795684,142611
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,2022-12-10 21:00:01+00:00,262619413,5783556,124341
se50viFJ0AQ,Would You Fly To Paris For A Baguette?,2022-12-08 20:12:27+00:00,1636236076,57088949,120815
kX3nB4PpJko,11 YouTubers Fight For Private Jet!,2022-11-12 21:00:00+00:00,243087700,4934836,100013
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",2022-10-22 21:00:00+00:00,417687584,7463464,114024
tVWWp1PqDus,"100 Boys Vs 100 Girls For $500,000",2022-07-23 20:00:09+00:00,286374582,4996579,136610
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,2022-06-04 20:00:02+00:00,364174715,6909069,155739
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",2021-08-31 20:01:03+00:00,539744650,7802161,128202
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",2021-07-24 20:00:59+00:00,256992139,3920779,78482
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,2021-06-26 20:00:02+00:00,292107442,4441371,98601
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24 20:00:00+00:00,234387589,4359931,120106
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10 20:00:31+00:00,257652700,4114020,115745
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,2020-08-01 20:00:02+00:00,320613583,4854498,136690
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,2020-07-23 20:00:11+00:00,273727317,5007396,207390
